chrom	start	gene	strand	LIC-dRNA-nonpolyA	LIC-dRNA-cDNA-polyA	LIC-dRNA-polyA	Q29-dRNA-nonpolyA-R1	Q29-dRNA-nonpolyA-R2	clusters
NC_005823.1	2913814	unaware	-	NA	NA	NA	2913604;29	NA	2845
NC_005823.1	2913819	unaware	-	NA	NA	NA	NA	2913017;7	2845
NC_005823.1	2914701	LIC_RS12280	-	NA	NA	NA	2913388;7	NA	2846
NC_005823.1	2915632	unaware	-	NA	NA	NA	NA	2915192;2	2847
NC_005823.1	2917181	LIC_RS23165	-	NA	NA	NA	2916679;4	NA	2848
NC_005823.1	2917198	LIC_RS23165	-	NA	NA	NA	NA	2916675;2	2849
NC_005823.1	2917226	LIC_RS23165	-	2916881;1	NA	NA	NA	NA	2850
NC_005823.1	2917356	LIC_RS23165	-	2916786;1	NA	NA	NA	NA	2851
NC_005823.1	2917367	unaware	-	NA	NA	NA	NA	2916895;8	2852
NC_005823.1	2917368	unaware	-	NA	NA	NA	2917024;42	NA	2852
NC_005823.1	2918382	LIC_RS12295	-	NA	NA	NA	2918087;19	NA	2853
NC_005823.1	2918504	LIC_RS12295	-	2918086;3	NA	NA	NA	NA	2854
NC_005823.1	2919755	LIC_RS12300	-	2919210;4	NA	NA	NA	2918138;15	2855
NC_005823.1	2919756	LIC_RS12300	-	NA	2919019;2	NA	2919010;43	NA	2855
NC_005823.1	2920925	unaware	-	NA	NA	NA	2920454;5	NA	2856
NC_005823.1	2922188	unaware	-	NA	NA	NA	NA	2921976;4	2857
NC_005823.1	2925732	LIC_RS12325	-	2925058;11	NA	NA	NA	NA	2858
NC_005823.1	2925733	LIC_RS12325	-	NA	NA	NA	2925058;183	2924755;57	2858
NC_005823.1	2926577	unaware	-	NA	NA	NA	NA	2926248;2	2859
NC_005823.1	2929355	LIC_RS12335	-	NA	NA	NA	2929016;160	NA	2860
NC_005823.1	2929359	LIC_RS12335	-	2929016;16	NA	NA	NA	2929016;42	2860
NC_005823.1	2930300	LIC_RS12340	-	NA	NA	NA	NA	2929522;1	2861
NC_005823.1	2930375	LIC_RS12340	-	NA	NA	NA	2929010;14	NA	2862
NC_005823.1	2930472	LIC_RS12340	-	NA	NA	NA	NA	2929462;1	2863
NC_005823.1	2930696	LIC_RS12340	-	NA	NA	NA	NA	2930197;1	2864
NC_005823.1	2930751	unaware	-	NA	NA	NA	NA	2928835;3	2865
NC_005823.1	2930988	LIC_RS12345	-	NA	NA	NA	2930598;1	NA	2866
NC_005823.1	2931070	LIC_RS12345	-	NA	NA	NA	2930847;1	NA	2867
NC_005823.1	2932567	LIC_RS12350	-	2932307;6	NA	NA	NA	NA	2868
NC_005823.1	2932568	LIC_RS12350	-	NA	NA	NA	NA	2931715;5	2868
NC_005823.1	2932838	LIC_RS12355	-	NA	NA	NA	2932306;9	2932485;3	2869
NC_005823.1	2932840	LIC_RS12355	-	2931377;3	NA	NA	NA	NA	2869
NC_005823.1	2932961	LIC_RS12355	-	NA	NA	NA	2932247;9	NA	2870
NC_005823.1	2933024	unaware	-	2932838;14	NA	NA	2932825;89	NA	2871
NC_005823.1	2933352	unaware	-	2933197;2	NA	NA	2933047;18	NA	2872
NC_005823.1	2933386	unaware	-	NA	NA	NA	NA	2932246;2	2873
NC_005823.1	2933575	unaware	-	NA	NA	NA	2932889;4	NA	2874
NC_005823.1	2936546	unaware	-	NA	NA	NA	2936036;5	NA	2875
NC_005823.1	2939195	unaware	-	2938463;5	NA	NA	NA	2938498;13	2876
NC_005823.1	2940190	unaware	-	NA	NA	NA	2940009;10	NA	2877
NC_005823.1	2940375	unaware	-	NA	NA	NA	2940209;10	NA	2878
NC_005823.1	2940376	unaware	-	NA	NA	NA	NA	2939492;2	2878
NC_005823.1	2944518	unaware	-	NA	NA	NA	NA	2944292;2	2879
NC_005823.1	2944519	unaware	-	NA	NA	NA	2944295;2	NA	2879
NC_005823.1	2945930	LIC_RS23175	-	NA	NA	NA	NA	2945263;1	2880
NC_005823.1	2945940	LIC_RS23175	-	NA	NA	NA	2945123;2	NA	2880
NC_005823.1	2945957	LIC_RS23175	-	NA	NA	NA	NA	2945738;1	2881
NC_005823.1	2945958	LIC_RS23175	-	2945284;2	NA	NA	NA	NA	2881
NC_005823.1	2945959	LIC_RS23175	-	NA	NA	NA	2945311;2	NA	2881
NC_005823.1	2947484	unaware	-	NA	NA	NA	2946653;10	NA	2882
NC_005823.1	2947549	LIC_RS12400	-	NA	NA	NA	2946926;1	NA	2883
NC_005823.1	2947722	LIC_RS12400	-	NA	NA	NA	2947494;1	NA	2884
NC_005823.1	2948377	LIC_RS12405	-	NA	NA	NA	NA	2948071;1	2885
NC_005823.1	2948468	LIC_RS12405	-	NA	NA	NA	NA	2948020;2	2886
NC_005823.1	2949217	unaware	-	NA	NA	NA	NA	2948939;2	2887
NC_005823.1	2949624	LIC_RS12410	-	NA	NA	NA	NA	2949449;2	2888
NC_005823.1	2949625	LIC_RS12410	-	NA	NA	NA	2948273;3	NA	2888
NC_005823.1	2951113	unaware	-	2950305;2	NA	NA	NA	NA	2889
NC_005823.1	2951115	unaware	-	NA	NA	NA	2950303;12	NA	2889
NC_005823.1	2951116	unaware	-	NA	NA	NA	NA	2949732;6	2889
NC_005823.1	2951576	LIC_RS12420	-	NA	NA	NA	2950759;1	NA	2890
NC_005823.1	2951661	LIC_RS12420	-	NA	NA	NA	2951044;2	NA	2891
NC_005823.1	2951824	LIC_RS12425	-	NA	NA	NA	NA	2951463;1	2892
NC_005823.1	2952181	LIC_RS12425	-	NA	NA	NA	NA	2951463;1	2893
NC_005823.1	2956855	LIC_RS12445	-	NA	NA	NA	2956254;2	NA	2894
NC_005823.1	2956867	LIC_RS12445	-	NA	NA	NA	2956514;1	NA	2895
NC_005823.1	2959953	LIC_RS12465	-	NA	NA	NA	2959146;2	NA	2896
NC_005823.1	2960127	LIC_RS23180	-	NA	NA	NA	NA	2959877;2	2897
NC_005823.1	2960744	LIC_RS12475	-	NA	NA	NA	2960261;1	NA	2898
NC_005823.1	2960842	LIC_RS12475	-	NA	NA	NA	2960688;1	NA	2899
NC_005823.1	2960925	LIC_RS12475	-	NA	NA	NA	2960486;1	NA	2900
NC_005823.1	2961236	LIC_RS12480	-	NA	NA	NA	2960430;2	NA	2901
NC_005823.1	2962691	LIC_RS12485	-	2962508;19	NA	NA	2962504;156	2962538;25	2902
NC_005823.1	2962807	LIC_RS12490	-	2962464;23	NA	NA	NA	2962464;75	2903
NC_005823.1	2962808	LIC_RS12490	-	NA	NA	NA	2962464;242	NA	2903
NC_005823.1	2963012	LIC_RS12495	-	NA	NA	NA	2962596;17	NA	2904
NC_005823.1	2963069	LIC_RS12495	-	2962501;1	NA	NA	NA	NA	2905
NC_005823.1	2963072	LIC_RS12495	-	NA	NA	NA	NA	2962538;5	2905
NC_005823.1	2963296	LIC_RS12495	-	2963000;1	NA	NA	NA	NA	2906
NC_005823.1	2963723	LIC_RS12500	-	NA	NA	NA	2962720;17	NA	2907
NC_005823.1	2963727	LIC_RS12500	-	NA	NA	NA	NA	2962945;4	2907
NC_005823.1	2963752	LIC_RS12500	-	2963445;1	NA	NA	NA	NA	2908
NC_005823.1	2963763	LIC_RS12500	-	2963574;1	NA	NA	NA	NA	2909
NC_005823.1	2963876	LIC_RS12500	-	2963576;1	NA	NA	NA	NA	2910
NC_005823.1	2964480	LIC_RS12505	-	NA	NA	NA	2963576;39	NA	2911
NC_005823.1	2964630	LIC_RS12505	-	NA	NA	NA	2964001;40	NA	2912
NC_005823.1	2964634	LIC_RS12505	-	2964001;11	NA	2964178;2	NA	2964339;26	2912
NC_005823.1	2964653	LIC_RS12505	-	2964170;13	NA	NA	NA	NA	2913
NC_005823.1	2964964	unaware	-	2964170;30	NA	NA	NA	NA	2914
NC_005823.1	2965171	unaware	-	2964981;5	NA	NA	NA	NA	2915
NC_005823.1	2966227	LIC_RS12510	-	2966050;47	NA	NA	2966050;752	2966050;190	2916
NC_005823.1	2966570	unaware	-	NA	NA	NA	NA	2965698;3	2917
NC_005823.1	2967026	LIC_RS12515	-	NA	NA	NA	2966257;10	NA	2918
NC_005823.1	2967042	LIC_RS12515	-	NA	NA	NA	NA	2966581;1	2919
NC_005823.1	2967162	LIC_RS12515	-	NA	NA	NA	NA	2966682;1	2920
NC_005823.1	2968248	LIC_RS12520	-	2967987;1	NA	NA	NA	NA	2921
NC_005823.1	2968306	LIC_RS12520	-	NA	NA	NA	NA	2967782;6	2922
NC_005823.1	2968307	LIC_RS12520	-	2967988;1	NA	NA	NA	NA	2922
NC_005823.1	2968308	LIC_RS12520	-	NA	NA	NA	2967985;27	NA	2922
NC_005823.1	2969303	LIC_RS12525	-	NA	NA	NA	2968979;13	2968794;2	2923
NC_005823.1	2970246	LIC_RS12530	-	2969394;3	NA	NA	NA	NA	2924
NC_005823.1	2970247	LIC_RS12530	-	NA	NA	NA	2970070;81	2969397;10	2924
NC_005823.1	2970609	unaware	-	2969517;2	NA	NA	NA	NA	2925
NC_005823.1	2970811	LIC_RS12535	-	NA	NA	NA	2970220;31	NA	2926
NC_005823.1	2970812	LIC_RS12535	-	NA	NA	NA	NA	2970686;7	2926
NC_005823.1	2970870	LIC_RS12535	-	2970650;1	NA	NA	NA	NA	2927
NC_005823.1	2970921	LIC_RS12535	-	2970462;1	NA	NA	NA	NA	2928
NC_005823.1	2971017	LIC_RS12535	-	2970662;1	NA	NA	NA	NA	2929
NC_005823.1	2971546	LIC_RS12540	-	NA	NA	NA	2970943;16	NA	2930
NC_005823.1	2971598	LIC_RS12540	-	NA	NA	NA	2970952;18	NA	2931
NC_005823.1	2971764	LIC_RS12540	-	NA	2971104;2	NA	NA	NA	2932
NC_005823.1	2971772	LIC_RS12540	-	NA	NA	NA	NA	2971188;5	2932
NC_005823.1	2971923	LIC_RS12545	-	2970952;7	2971376;1	NA	2971189;153	2971538;50	2933
NC_005823.1	2972150	unaware	-	2971172;7	NA	NA	2971710;152	2971677;46	2934
NC_005823.1	2972150	LIC_RS12545	-	NA	2971446;1	NA	NA	NA	2934
NC_005823.1	2972299	unaware	-	2971406;2	NA	NA	NA	NA	2935
NC_005823.1	2973010	LIC_RS12550	-	NA	NA	NA	2972804;20	NA	2936
NC_005823.1	2973059	LIC_RS12550	-	2972553;4	NA	NA	NA	NA	2937
NC_005823.1	2973071	LIC_RS12550	-	NA	NA	NA	NA	2972515;5	2938
NC_005823.1	2973420	unaware	-	NA	NA	NA	NA	2973214;12	2939
NC_005823.1	2973671	unaware	-	2972739;2	NA	NA	NA	NA	2940
NC_005823.1	2975263	unaware	-	2974638;2	NA	NA	NA	NA	2941
NC_005823.1	2976302	LIC_RS12555	-	NA	NA	2976073;1	NA	NA	2942
NC_005823.1	2976305	LIC_RS12555	-	NA	NA	NA	NA	2975511;3	2942
NC_005823.1	2976658	LIC_RS12555	-	NA	NA	2975920;1	NA	NA	2943
NC_005823.1	2976696	LIC_RS12560	-	NA	NA	NA	2976328;15	2976328;6	2944
NC_005823.1	2977036	LIC_RS12560	-	NA	2976328;2	NA	NA	NA	2945
NC_005823.1	2977212	LIC_RS12560	-	NA	2976413;1	NA	NA	NA	2946
NC_005823.1	2977978	LIC_RS12570	-	NA	NA	NA	2976984;5	NA	2947
NC_005823.1	2978216	LIC_RS12575	-	NA	NA	NA	NA	2976851;8	2948
NC_005823.1	2978874	LIC_RS12580	-	NA	NA	NA	2978642;66	2978467;14	2949
NC_005823.1	2978922	LIC_RS12580	-	NA	NA	NA	2978642;54	NA	2950
NC_005823.1	2978925	LIC_RS12580	-	NA	NA	NA	NA	2978642;9	2950
NC_005823.1	2978960	LIC_RS12580	-	2978646;4	NA	NA	NA	NA	2951
NC_005823.1	2979252	LIC_RS12585	-	NA	NA	NA	2979088;111	NA	2952
NC_005823.1	2979253	LIC_RS12585	-	NA	NA	NA	NA	2979087;14	2952
NC_005823.1	2979365	LIC_RS12585	-	NA	NA	NA	NA	2978612;12	2953
NC_005823.1	2979366	LIC_RS12585	-	2978905;5	NA	NA	2979087;70	NA	2953
NC_005823.1	2979487	LIC_RS12590	-	NA	NA	NA	2979087;264	2978848;83	2954
NC_005823.1	2979489	LIC_RS12590	-	2979202;39	NA	NA	NA	NA	2954
NC_005823.1	2980024	LIC_RS12595	-	2979865;43	NA	NA	2979678;812	2979678;136	2955
NC_005823.1	2980069	unaware	-	NA	NA	NA	NA	2979754;51	2956
NC_005823.1	2980073	unaware	-	2978913;15	NA	NA	NA	NA	2956
NC_005823.1	2980263	unaware	-	NA	NA	NA	2979754;36	NA	2957
NC_005823.1	2982339	unaware	-	NA	NA	NA	2982086;29	NA	2958
NC_005823.1	2983703	LIC_RS12605	-	2982888;5	NA	NA	2983437;65	2983313;26	2959
NC_005823.1	2984538	unaware	-	NA	NA	NA	2983488;2	NA	2960
NC_005823.1	2986290	unaware	-	NA	NA	NA	2985865;2	NA	2961
NC_005823.1	2989311	unaware	-	NA	NA	NA	2989162;4	NA	2962
NC_005823.1	2990105	unaware	-	NA	NA	NA	2989685;2	NA	2963
NC_005823.1	2992162	unaware	-	NA	NA	NA	NA	2991803;2	2964
NC_005823.1	2992964	unaware	-	NA	NA	NA	2992641;19	2992572;7	2965
NC_005823.1	2992980	unaware	-	2992574;2	NA	NA	NA	NA	2966
NC_005823.1	2993348	unaware	-	NA	NA	NA	NA	2993035;3	2967
NC_005823.1	2993873	LIC_RS12640	-	NA	NA	NA	2993514;5	NA	2968
NC_005823.1	2993874	LIC_RS12640	-	NA	NA	NA	NA	2993521;1	2968
NC_005823.1	2993911	LIC_RS12640	-	NA	NA	NA	NA	2993627;1	2969
NC_005823.1	2994627	LIC_RS12645	-	NA	NA	NA	2994159;1	NA	2970
NC_005823.1	2994702	LIC_RS12645	-	NA	NA	NA	NA	2994514;1	2971
NC_005823.1	2994795	LIC_RS12645	-	NA	NA	NA	2993522;2	NA	2972
NC_005823.1	2994808	LIC_RS12645	-	NA	NA	NA	NA	2993909;2	2973
NC_005823.1	2994884	LIC_RS12650	-	NA	NA	NA	NA	2994580;1	2974
NC_005823.1	2994902	LIC_RS12650	-	NA	NA	NA	2993656;1	NA	2975
NC_005823.1	2994944	LIC_RS12650	-	NA	NA	NA	NA	2994756;1	2976
NC_005823.1	2994949	LIC_RS12650	-	NA	NA	NA	2994488;1	NA	2976
NC_005823.1	2995035	LIC_RS12650	-	NA	NA	NA	NA	2993903;1	2977
NC_005823.1	2996442	unaware	-	NA	NA	NA	NA	2996119;26	2978
NC_005823.1	2998022	LIC_RS12655	-	2997562;1	NA	NA	NA	NA	2979
NC_005823.1	2998038	LIC_RS12655	-	NA	NA	NA	NA	2997597;5	2980
NC_005823.1	2998040	LIC_RS12655	-	2997731;1	NA	NA	NA	NA	2980
NC_005823.1	2999154	unaware	-	NA	NA	NA	2998779;199	NA	2981
NC_005823.1	2999268	LIC_RS12660	-	NA	NA	NA	2998779;7	NA	2982
NC_005823.1	2999432	LIC_RS12660	-	NA	NA	2999124;1	NA	NA	2983
NC_005823.1	2999434	LIC_RS12660	-	NA	NA	NA	NA	2998941;22	2983
NC_005823.1	2999536	LIC_RS12660	-	NA	NA	2998834;1	NA	NA	2984
NC_005823.1	3000554	LIC_RS12665	-	NA	NA	NA	NA	3000114;32	2985
NC_005823.1	3000556	LIC_RS12665	-	2999745;5	NA	NA	2999745;90	NA	2985
NC_005823.1	3002576	unaware	-	NA	NA	NA	3002031;27	NA	2986
NC_005823.1	3002866	unaware	-	3002588;2	NA	NA	NA	NA	2987
NC_005823.1	3003070	LIC_RS12670	-	3002887;1	NA	NA	NA	NA	2988
NC_005823.1	3003226	LIC_RS12670	-	NA	NA	NA	3002586;7	3002929;1	2989
NC_005823.1	3003376	LIC_RS12670	-	NA	NA	NA	NA	3002587;1	2990
NC_005823.1	3003458	LIC_RS12670	-	3002996;1	NA	NA	NA	NA	2991
NC_005823.1	3003477	unaware	-	NA	NA	NA	3003113;24	NA	2992
NC_005823.1	3003479	unaware	-	3003057;2	NA	NA	NA	NA	2992
NC_005823.1	3004008	unaware	-	NA	NA	NA	3003682;27	NA	2993
NC_005823.1	3004009	unaware	-	NA	NA	NA	NA	3003486;3	2993
NC_005823.1	3005637	unaware	-	NA	NA	NA	3005106;5	NA	2994
NC_005823.1	3008724	unaware	-	NA	3008045;2	NA	NA	NA	2995
NC_005823.1	3008833	unaware	-	NA	NA	NA	3007205;4	NA	2996
NC_005823.1	3008954	unaware	-	NA	NA	NA	3007594;2	NA	2997
NC_005823.1	3009392	LIC_RS12700	-	NA	NA	NA	3009256;1	NA	2998
NC_005823.1	3009441	LIC_RS12700	-	NA	NA	NA	3009126;1	NA	2999
NC_005823.1	3009635	LIC_RS12700	-	NA	NA	NA	3009026;1	NA	3000
NC_005823.1	3011463	unaware	-	NA	NA	NA	3010961;3	NA	3001
NC_005823.1	3012647	unaware	-	NA	NA	NA	3012426;10	3012054;2	3002
NC_005823.1	3013850	unaware	-	3013218;3	NA	NA	NA	NA	3003
NC_005823.1	3014350	unaware	-	NA	NA	NA	NA	3013785;4	3004
NC_005823.1	3015402	LIC_RS12730	-	NA	NA	NA	NA	3014618;2	3005
NC_005823.1	3015585	LIC_RS12730	-	NA	NA	NA	NA	3015200;1	3006
NC_005823.1	3016644	LIC_RS12735	-	NA	NA	NA	3015419;2	NA	3007
NC_005823.1	3016680	LIC_RS12735	-	3016483;1	NA	NA	NA	NA	3008
NC_005823.1	3016753	LIC_RS12735	-	3016060;1	NA	NA	NA	NA	3009
NC_005823.1	3016815	LIC_RS12735	-	3016628;5	NA	NA	NA	NA	3010
NC_005823.1	3016818	LIC_RS12735	-	NA	3015726;1	NA	NA	NA	3010
NC_005823.1	3016820	LIC_RS12735	-	NA	NA	NA	NA	3015895;7	3010
NC_005823.1	3017243	LIC_RS12735	-	NA	3015726;1	NA	NA	NA	3011
NC_005823.1	3017244	unaware	-	3016868;5	NA	NA	3016868;114	3016635;24	3011
NC_005823.1	3017381	LIC_RS12735	-	NA	3016606;1	NA	NA	NA	3012
NC_005823.1	3017384	LIC_RS12740	-	NA	NA	NA	3016861;4	NA	3012
NC_005823.1	3017727	LIC_RS12745	-	NA	NA	NA	3016721;8	NA	3013
NC_005823.1	3018210	unaware	-	3017997;2	NA	NA	NA	3017671;5	3014
NC_005823.1	3018517	unaware	-	NA	NA	NA	3018182;7	NA	3015
NC_005823.1	3018643	unaware	-	NA	NA	NA	NA	3017933;3	3016
NC_005823.1	3019276	LIC_RS12750	-	NA	NA	NA	3018915;3	NA	3017
NC_005823.1	3020648	LIC_RS12765	-	NA	NA	NA	3020154;5	NA	3018
NC_005823.1	3020652	LIC_RS12765	-	3020362;1	NA	NA	NA	NA	3018
NC_005823.1	3020771	LIC_RS12765	-	NA	NA	NA	3020105;5	NA	3019
NC_005823.1	3020846	LIC_RS12765	-	3020608;1	NA	NA	NA	NA	3020
NC_005823.1	3022095	LIC_RS12770	-	NA	NA	NA	3020662;7	NA	3021
NC_005823.1	3022099	LIC_RS12770	-	3020206;5	NA	NA	NA	3021774;13	3021
NC_005823.1	3022191	unaware	-	NA	NA	NA	NA	3021947;7	3022
NC_005823.1	3022885	unaware	-	NA	NA	NA	NA	3021852;2	3023
NC_005823.1	3022967	unaware	-	NA	NA	NA	3021779;7	NA	3024
NC_005823.1	3023384	LIC_RS12775	-	NA	NA	NA	3023246;1	NA	3025
NC_005823.1	3023475	LIC_RS12775	-	NA	NA	NA	3022909;1	NA	3026
NC_005823.1	3023506	LIC_RS12775	-	NA	NA	NA	3023215;1	NA	3027
NC_005823.1	3023519	LIC_RS12775	-	3023266;2	NA	NA	NA	NA	3028
NC_005823.1	3023714	unaware	-	NA	NA	NA	3023232;3	3023183;3	3029
NC_005823.1	3025405	unaware	-	NA	NA	NA	3025085;2	NA	3030
NC_005823.1	3027447	unaware	-	NA	NA	NA	NA	3026932;4	3031
NC_005823.1	3027448	unaware	-	NA	NA	NA	3026898;6	NA	3031
NC_005823.1	3030517	LIC_RS12805	-	NA	NA	NA	3029661;6	NA	3032
NC_005823.1	3030528	LIC_RS12805	-	NA	NA	NA	NA	3029674;4	3033
NC_005823.1	3030743	LIC_RS12810	-	3030397;6	NA	NA	3030309;127	NA	3034
NC_005823.1	3030756	LIC_RS12810	-	NA	3030270;2	NA	NA	NA	3035
NC_005823.1	3030758	LIC_RS12810	-	NA	NA	NA	NA	3030309;35	3035
NC_005823.1	3031343	LIC_RS12815	-	NA	NA	NA	3030985;12	3030735;2	3036
NC_005823.1	3032918	LIC_RS12820	-	3032320;5	NA	NA	3032731;54	3032731;10	3037
NC_005823.1	3034796	LIC_RS12825	-	3034199;3	NA	NA	3033074;24	3034363;3	3038
NC_005823.1	3036850	LIC_RS23350	-	NA	NA	NA	3035768;1	NA	3039
NC_005823.1	3036917	LIC_RS23350	-	NA	NA	NA	3036385;1	NA	3040
NC_005823.1	3037665	unaware	-	NA	NA	NA	NA	3037269;2	3041
NC_005823.1	3037670	unaware	-	NA	NA	NA	3037263;8	NA	3041
NC_005823.1	3038476	unaware	-	3038108;2	NA	NA	NA	NA	3042
NC_005823.1	3038721	unaware	-	NA	NA	NA	3038004;2	NA	3043
NC_005823.1	3040325	LIC_RS12855	-	3039931;1	NA	NA	NA	NA	3044
NC_005823.1	3040417	LIC_RS12855	-	NA	NA	NA	3038890;4	NA	3045
NC_005823.1	3040465	LIC_RS12855	-	NA	NA	NA	3039899;4	NA	3046
NC_005823.1	3040525	LIC_RS12855	-	NA	NA	NA	NA	3039547;8	3047
NC_005823.1	3040527	LIC_RS12855	-	3040250;1	NA	NA	NA	NA	3047
NC_005823.1	3040527	LIC_RS12860	-	NA	NA	NA	3039032;32	NA	3047
NC_005823.1	3040901	LIC_RS12855	-	3040278;1	NA	NA	NA	NA	3048
NC_005823.1	3041889	LIC_RS12870	-	3041413;4	NA	NA	3041314;29	NA	3049
NC_005823.1	3041891	LIC_RS12870	-	NA	NA	NA	NA	3041265;7	3049
NC_005823.1	3041985	LIC_RS12870	-	3041273;2	NA	NA	NA	NA	3050
NC_005823.1	3041989	LIC_RS12870	-	NA	NA	NA	3041314;17	NA	3050
NC_005823.1	3043577	unaware	-	NA	NA	NA	3043180;120	3042964;33	3051
NC_005823.1	3043579	unaware	-	3043231;9	NA	NA	NA	NA	3051
NC_005823.1	3043628	LIC_RS12875	-	NA	NA	NA	3043078;2	NA	3052
NC_005823.1	3043630	LIC_RS12875	-	NA	NA	NA	NA	3042963;2	3052
NC_005823.1	3044951	LIC_RS12880	-	NA	NA	NA	3043488;3	NA	3053
NC_005823.1	3047292	LIC_RS12885	-	NA	NA	NA	3046931;8	NA	3054
NC_005823.1	3047294	LIC_RS12885	-	NA	NA	NA	NA	3046824;3	3054
NC_005823.1	3049492	LIC_RS12895	-	NA	NA	NA	3048677;2	NA	3055
NC_005823.1	3049801	LIC_RS12900	-	NA	NA	NA	NA	3049489;2	3056
NC_005823.1	3049805	LIC_RS12900	-	NA	NA	NA	3049247;2	NA	3056
NC_005823.1	3050545	LIC_RS12905	-	NA	NA	NA	3050321;2	NA	3057
NC_005823.1	3050603	LIC_RS12905	-	NA	NA	NA	NA	3050015;1	3058
NC_005823.1	3050658	LIC_RS12905	-	NA	NA	NA	NA	3049962;2	3059
NC_005823.1	3050659	LIC_RS12905	-	NA	NA	NA	3049910;2	NA	3059
NC_005823.1	3053111	unaware	-	3052684;2	NA	NA	NA	NA	3060
NC_005823.1	3054231	unaware	-	3053518;2	NA	NA	NA	NA	3061
NC_005823.1	3054578	unaware	-	NA	NA	NA	NA	3053323;2	3062
NC_005823.1	3056344	LIC_RS12910	-	NA	NA	NA	3054727;5	NA	3063
NC_005823.1	3056352	LIC_RS12910	-	NA	NA	NA	NA	3055311;2	3063
NC_005823.1	3056410	LIC_RS12910	-	NA	NA	NA	NA	3055758;1	3064
NC_005823.1	3057133	LIC_RS12915	-	NA	NA	NA	3056515;2	NA	3065
NC_005823.1	3058040	LIC_RS12920	-	NA	NA	NA	3056243;7	NA	3066
NC_005823.1	3060310	unaware	-	NA	NA	NA	3060127;5	NA	3067
NC_005823.1	3060930	unaware	-	NA	NA	NA	3060512;6	NA	3068
NC_005823.1	3064070	LIC_RS12935	-	NA	NA	NA	3063156;24	NA	3069
NC_005823.1	3064744	unaware	-	NA	NA	NA	NA	3064137;2	3070
NC_005823.1	3064848	LIC_RS12940	-	NA	NA	NA	3064032;3	NA	3071
NC_005823.1	3065672	LIC_RS12945	-	NA	NA	NA	3065002;4	NA	3072
NC_005823.1	3065799	LIC_RS12945	-	NA	NA	NA	NA	3064967;1	3073
NC_005823.1	3065844	LIC_RS12945	-	NA	NA	NA	NA	3065440;1	3074
NC_005823.1	3066558	unaware	-	NA	NA	NA	3066184;36	NA	3075
NC_005823.1	3066711	LIC_RS12950	-	NA	NA	NA	NA	3066401;1	3076
NC_005823.1	3066745	LIC_RS12950	-	NA	NA	NA	3065536;15	3065827;2	3077
NC_005823.1	3068098	unaware	-	NA	NA	NA	3067786;67	3067786;14	3078
NC_005823.1	3068101	unaware	-	3067788;4	NA	NA	NA	NA	3078
NC_005823.1	3068195	unaware	-	NA	NA	NA	3067786;4	NA	3079
NC_005823.1	3069344	LIC_RS12960	-	NA	NA	NA	3068400;4	NA	3080
NC_005823.1	3069625	unaware	-	NA	NA	NA	3069164;2	NA	3081
NC_005823.1	3070428	LIC_RS12970	-	NA	NA	NA	3070226;1	NA	3082
NC_005823.1	3070760	LIC_RS12970	-	NA	NA	NA	3070248;1	NA	3083
NC_005823.1	3072129	unaware	-	NA	NA	NA	NA	3071765;52	3084
NC_005823.1	3072130	unaware	-	3072008;15	3070790;4	NA	3071765;228	NA	3084
NC_005823.1	3072190	LIC_RS12975	-	3071769;1	NA	NA	NA	NA	3085
NC_005823.1	3072203	LIC_RS12975	-	NA	NA	NA	3072008;32	3071090;2	3086
NC_005823.1	3072204	LIC_RS12975	-	3071522;2	NA	NA	NA	NA	3086
NC_005823.1	3073034	unaware	-	NA	NA	3072507;2	NA	NA	3087
NC_005823.1	3073051	unaware	-	3072873;2	NA	NA	NA	NA	3088
NC_005823.1	3073059	unaware	-	NA	NA	NA	3072879;11	NA	3088
NC_005823.1	3073287	unaware	-	NA	NA	NA	NA	3072876;2	3089
NC_005823.1	3074427	LIC_RS12980	-	NA	NA	NA	3074000;15	NA	3090
NC_005823.1	3074621	LIC_RS12980	-	NA	3073439;1	NA	NA	NA	3091
NC_005823.1	3074683	LIC_RS12980	-	NA	3074115;1	NA	NA	NA	3092
NC_005823.1	3074779	LIC_RS12980	-	NA	3073654;1	NA	NA	NA	3093
NC_005823.1	3075479	unaware	-	3075266;3	NA	NA	NA	NA	3094
NC_005823.1	3076076	LIC_RS12985	-	NA	NA	NA	NA	3074734;6	3095
NC_005823.1	3076685	unaware	-	NA	NA	NA	3076326;82	NA	3096
NC_005823.1	3076783	LIC_RS12990	-	NA	NA	NA	3074780;12	NA	3097
NC_005823.1	3076800	LIC_RS12990	-	3076222;2	NA	NA	NA	NA	3098
NC_005823.1	3077745	unaware	-	3077466;7	NA	NA	NA	NA	3099
NC_005823.1	3078721	LIC_RS12995	-	3078170;2	NA	NA	NA	NA	3100
NC_005823.1	3078739	LIC_RS12995	-	NA	NA	NA	3078171;86	3078171;31	3101
NC_005823.1	3079548	LIC_RS13000	-	NA	NA	NA	NA	3078830;22	3102
NC_005823.1	3079554	LIC_RS13000	-	NA	NA	NA	3079133;71	NA	3102
NC_005823.1	3079559	LIC_RS13000	-	3079179;6	NA	NA	NA	NA	3102
NC_005823.1	3079709	LIC_RS13000	-	NA	3079326;1	NA	NA	NA	3103
NC_005823.1	3079735	LIC_RS13000	-	NA	3079252;2	NA	NA	NA	3104
